,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
0,20,Private,*,Some-college,10,Married-civ-spouse,*,*,*,*,0,0,1~49,United-States,<=50k
1,20,Private,*,Some-college,10,Married-civ-spouse,*,*,*,*,0,0,1~49,United-States,<=50k
2,20,Private,*,Some-college,10,Married-civ-spouse,*,*,*,*,0,0,1~49,United-States,<=50k
3,20,Private,*,Some-college,10,Married-civ-spouse,*,*,*,*,0,0,1~49,United-States,<=50k
4,15~19,Private,*,Some-college,10,Never-married,Tech-support,*,*,Male,0~49999,0~2178,1~49,*,<=50k
5,15~19,Private,*,Some-college,10,Never-married,Tech-support,*,*,Male,0~49999,0~2178,1~49,*,<=50k
6,15~19,Private,*,Some-college,10,Never-married,Tech-support,*,*,Male,0~49999,0~2178,1~49,*,<=50k
7,15~19,Private,*,Some-college,10,Never-married,Tech-support,*,*,Male,0~49999,0~2178,1~49,*,<=50k
8,15~19,Private,*,Some-college,10,Never-married,Tech-support,*,*,Male,0~49999,0~2178,1~49,*,<=50k
9,15~19,Private,*,Some-college,10,Never-married,Tech-support,*,*,Male,0~49999,0~2178,1~49,*,<=50k
10,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
11,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
12,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
13,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
14,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
15,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
16,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
17,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
18,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
19,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
20,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
21,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
22,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
23,15~19,Non-Government,*,Some-college,10,spouse not present,Craft-repair,*,White,Male,0~49999,0,1~49,North America,<=50k
24,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
25,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
26,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
27,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
28,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
29,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
30,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
31,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
