age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;salary-class
20;Private;*;Some-college;10;Married-civ-spouse;*;*;*;*;0;0;1~49;United-States;<=50k
20;Private;*;Some-college;10;Married-civ-spouse;*;*;*;*;0;0;1~49;United-States;<=50k
20;Private;*;Some-college;10;Married-civ-spouse;*;*;*;*;0;0;1~49;United-States;<=50k
20;Private;*;Some-college;10;Married-civ-spouse;*;*;*;*;0;0;1~49;United-States;<=50k
15~19;Private;*;Some-college;10;Never-married;Tech-support;*;*;Male;0~49999;0~2178;1~49;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Tech-support;*;*;Male;0~49999;0~2178;1~49;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Tech-support;*;*;Male;0~49999;0~2178;1~49;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Tech-support;*;*;Male;0~49999;0~2178;1~49;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Tech-support;*;*;Male;0~49999;0~2178;1~49;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Tech-support;*;*;Male;0~49999;0~2178;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Craft-repair;*;White;Male;0~49999;0;1~49;North America;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Prof-specialty;*;White;Male;0;0;1~49;United-States;<=50k
15~19;Private;*;Some-college;10;Never-married;Machine-op-inspct;*;*;Male;0;0;*;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Machine-op-inspct;*;*;Male;0;0;*;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Machine-op-inspct;*;*;Male;0;0;*;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Machine-op-inspct;*;*;Male;0;0;*;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Machine-op-inspct;*;*;Male;0;0;*;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Machine-op-inspct;*;*;Male;0;0;*;*;<=50k
15~19;Private;*;Some-college;10;Never-married;Machine-op-inspct;*;*;Male;0;0;*;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Private;*;Higher education;7~16;Never-married;Technical;*;*;Female;0~49999;0;1~49;*;<=50k
15~19;Self-emp-not-inc;*;Some-college;10;Never-married;Technical;*;*;Female;0;0;1~49;*;<=50k
15~19;Self-emp-not-inc;*;Some-college;10;Never-married;Technical;*;*;Female;0;0;1~49;*;<=50k
15~19;Self-emp-not-inc;*;Some-college;10;Never-married;Technical;*;*;Female;0;0;1~49;*;<=50k
15~19;Self-emp-not-inc;*;Some-college;10;Never-married;Technical;*;*;Female;0;0;1~49;*;<=50k
15~19;Self-emp-not-inc;*;Some-college;10;Never-married;Technical;*;*;Female;0;0;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
